Event Count,location,Event duration
92,"{'latitude': 20.6086542, 'longitude': 85.1957634}",352.273
93,"{'latitude': 20.7691865, 'longitude': 86.1526994}",391.25
94,"{'latitude': 21.0704838, 'longitude': 84.4041567}",405.084
95,"{'latitude': 22.277898, 'longitude': 86.0702703}",341.336
96,"{'latitude': 21.0553899, 'longitude': 82.7935172}",319.003
97,"{'latitude': 21.8427443, 'longitude': 86.9451885}",480.913
98,"{'latitude': 22.0258021, 'longitude': 86.9443441}",462.666
99,"{'latitude': 22.5204542, 'longitude': 86.0805671}",412.169
100,"{'latitude': 20.2220912, 'longitude': 86.5363084}",420.079
101,"{'latitude': 20.7061731, 'longitude': 83.4871676}",1215.48
102,"{'latitude': 21.0818797, 'longitude': 83.5257965}",598.5
103,"{'latitude': 20.32404, 'longitude': 86.5355556}",558.375
104,"{'latitude': 20.8194115, 'longitude': 86.1998766}",311
105,"{'latitude': 20.7099256, 'longitude': 83.5084062}",547.087
106,"{'latitude': 19.346376666666668, 'longitude': 83.12413}",365.556
107,"{'latitude': 19.276968333333333, 'longitude': 82.23857666666666}",374.416
108,"{'latitude': 22.4647555, 'longitude': 84.085213}",686
109,"{'latitude': 21.9388758, 'longitude': 86.7472478}",2592.991
110,"{'latitude': 20.6851502, 'longitude': 83.4736607}",342.33
111,"{'latitude': 20.289642100000002, 'longitude': 86.0986123}",549.272
112,"{'latitude': 20.8472177, 'longitude': 83.8931229}",519.308
113,"{'latitude': 19.547108333333334, 'longitude': 83.366005}",377.889
114,"{'latitude': 19.4826488, 'longitude': 84.7453826}",395.136
115,"{'latitude': 20.8053894, 'longitude': 86.2384944}",330.003
116,"{'latitude': 20.4499929, 'longitude': 85.9266914}",791.415
117,"{'latitude': 21.0014643, 'longitude': 83.0596867}",301.415
118,"{'latitude': 20.7691148, 'longitude': 86.1524381}",439.913
119,"{'latitude': 20.2939023, 'longitude': 82.7600937}",402.968
120,"{'latitude': 21.07971, 'longitude': 86.6351282}",394.83
121,"{'latitude': 19.0479738, 'longitude': 82.5534096}",307.727
122,"{'latitude': 20.3182075, 'longitude': 86.1005598}",718
123,"{'latitude': 20.6012041, 'longitude': 84.7850605}",1873.17
124,"{'latitude': 19.3643415, 'longitude': 83.7065697}",444.222
125,"{'latitude': 22.1039536, 'longitude': 86.7635697}",321.338
126,"{'latitude': 20.7746456, 'longitude': 85.3851517}",306.502
127,"{'latitude': 21.472894, 'longitude': 84.3883642}",619.583
128,"{'latitude': 20.3890041, 'longitude': 86.407769}",302.419
129,"{'latitude': 20.9881716, 'longitude': 85.9879442}",594.249
130,"{'latitude': 20.8238428, 'longitude': 83.9125442}",512.253
131,"{'latitude': 20.7080341, 'longitude': 83.1322231}",1254
132,"{'latitude': 20.9556069, 'longitude': 83.6826781}",572.5
133,"{'latitude': 20.8302225, 'longitude': 86.2007926}",524
134,"{'latitude': 19.326633333333334, 'longitude': 83.98909166666667}",390.667
135,"{'latitude': 20.4550724, 'longitude': 86.4577698}",751
136,"{'latitude': 22.264965, 'longitude': 86.1744932}",330.17
137,"{'latitude': 20.769326, 'longitude': 86.1524973}",357.913
138,"{'latitude': 22.074177, 'longitude': 86.6501082}",543.585
139,"{'latitude': 21.2477991, 'longitude': 83.708154}",580.17
140,"{'latitude': 22.4026389, 'longitude': 84.7324032}",384.167
141,"{'latitude': 21.1756079, 'longitude': 83.4413601}",356
142,"{'latitude': 22.4433833, 'longitude': 86.0744548}",483
143,"{'latitude': 20.3820392, 'longitude': 85.532745}",603.087
144,"{'latitude': 20.643886, 'longitude': 84.8436368}",423.332
145,"{'latitude': 20.4575812, 'longitude': 83.4136117}",305.5
146,"{'latitude': 18.8650803, 'longitude': 82.5730154}",613.228
147,"{'latitude': 21.7059144, 'longitude': 87.2198666}",317.581
148,"{'latitude': 20.5022978, 'longitude': 82.6714913}",520.334
149,"{'latitude': 22.4059899, 'longitude': 86.1841646}",420
150,"{'latitude': 20.2913099, 'longitude': 82.6650306}",436.498
151,"{'latitude': 21.7661826, 'longitude': 85.9730429}",371
152,"{'latitude': 21.4910196, 'longitude': 87.0422349}",310
153,"{'latitude': 20.3410397, 'longitude': 82.8546438}",344.724
154,"{'latitude': 20.8345262, 'longitude': 86.4772543}",453.668
155,"{'latitude': 18.9344517, 'longitude': 83.2600125}",342
156,"{'latitude': 20.268861, 'longitude': 86.5046247}",428.332
157,"{'latitude': 19.142165, 'longitude': 82.332385}",320.334
158,"{'latitude': 22.2925786, 'longitude': 84.1055649}",441
159,"{'latitude': 18.9719999, 'longitude': 84.1571906}",1037.778
160,"{'latitude': 20.5262332, 'longitude': 82.5870754}",789
161,"{'latitude': 17.8179167, 'longitude': 81.4051582}",792.548
162,"{'latitude': 20.2948349, 'longitude': 82.7583514}",1742.172
163,"{'latitude': 20.6399073, 'longitude': 82.6151451}",326.583
164,"{'latitude': 20.386512, 'longitude': 86.4829851}",320.245
165,"{'latitude': 20.8338496, 'longitude': 86.2006968}",720.415
166,"{'latitude': 22.074221, 'longitude': 86.650046}",505.249
167,"{'latitude': 19.036233333333332, 'longitude': 83.16699166666666}",558.222
168,"{'latitude': 21.3192691, 'longitude': 86.7359555}",519.25
169,"{'latitude': 20.7011142, 'longitude': 86.1338258}",716.83
170,"{'latitude': 20.1403081, 'longitude': 86.3751479}",533.668
171,"{'latitude': 21.9050895, 'longitude': 87.1145976}",370
172,"{'latitude': 20.6274094, 'longitude': 84.4256847}",398.836
